"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
3313,246,"VEN","Venezuela",1,"Amazonas","","","",""
3314,246,"VEN","Venezuela",2,"Anzoátegui","","","",""
3315,246,"VEN","Venezuela",3,"Apure","","","",""
3316,246,"VEN","Venezuela",4,"Aragua","","","",""
3317,246,"VEN","Venezuela",5,"Barinas","","","",""
3318,246,"VEN","Venezuela",6,"Bolívar","","","",""
3319,246,"VEN","Venezuela",7,"Carabobo","","","",""
3320,246,"VEN","Venezuela",8,"Cojedes","","","",""
3321,246,"VEN","Venezuela",9,"Delta Amacuro","","","",""
3322,246,"VEN","Venezuela",10,"Distrito Capital","","","",""
3323,246,"VEN","Venezuela",11,"Falcón","","","",""
3324,246,"VEN","Venezuela",12,"Guárico","","","",""
3325,246,"VEN","Venezuela",13,"Lara","","","",""
3326,246,"VEN","Venezuela",14,"Mérida","","","",""
3327,246,"VEN","Venezuela",15,"Miranda","","","",""
3328,246,"VEN","Venezuela",16,"Monagas","","","",""
3329,246,"VEN","Venezuela",17,"Nueva Esparta","","","",""
3330,246,"VEN","Venezuela",18,"Portuguesa","","","",""
3331,246,"VEN","Venezuela",19,"Sucre","","","",""
3332,246,"VEN","Venezuela",20,"Táchira","","","",""
3333,246,"VEN","Venezuela",21,"Trujillo","","","",""
3334,246,"VEN","Venezuela",22,"Vargas","","","",""
3335,246,"VEN","Venezuela",23,"Yaracuy","","","",""
3336,246,"VEN","Venezuela",24,"Zulia","","","",""
